date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:43:18	105273/105273	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Oct%202021%2018:43:17%20GMT	https://sexcames.mystrikingly.com/blog/free-live-sex-chat-and-adult-live-porn-cams-xxx	C:/My%20Web%20Sites/test/sexcames.mystrikingly.com/blog/free-live-sex-chat-and-adult-live-porn-cams-xxx.html	(from )
21:43:18	150/150	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2014%20Oct%202021%2018:43:18%20GMT	https://sexcames.mystrikingly.com/robots.txt		(from )
21:43:18	180527/180527	---M-Z	200	added ('OK')	text/css	etag:%220b4e453b4c598217301b9c7bb492d2b9%22	https://static-assets.strikinglycdn.com/v4/blog.show.b25c551e40b850870757.bundle.css	C:/My%20Web%20Sites/test/static-assets.strikinglycdn.com/v4/blog.show.b25c551e40b850870757.bundle.css	(from https://sexcames.mystrikingly.com/blog/free-live-sex-chat-and-adult-live-porn-cams-xxx)
21:43:18	769516/769516	---M-Z	200	added ('OK')	text/css	etag:%22fdb9fcb5e42c847c4b3412a21ac19c8b%22	https://static-assets.strikinglycdn.com/themes/spectre/main_v4.23afabbba53d1149e937.bundle.css	C:/My%20Web%20Sites/test/static-assets.strikinglycdn.com/themes/spectre/main_v4.23afabbba53d1149e937.bundle.css	(from https://sexcames.mystrikingly.com/blog/free-live-sex-chat-and-adult-live-porn-cams-xxx)
21:43:22	49529/49529	---MC-	200	added ('OK')	text/javascript	date:Wed,%2013%20Oct%202021%2016:38:54%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/test/www.google-analytics.com/analytics.js	(from https://sexcames.mystrikingly.com/blog/free-live-sex-chat-and-adult-live-porn-cams-xxx)
21:43:27	57108/57108	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Oct%202021%2018:43:21%20GMT	http://user-images.strikinglycdn.com/res/hrscywv4p/image/upload/c_limit,fl_lossy,h_300,w_300,f_auto,q_auto/5769598/958373_149415.png	C:/My%20Web%20Sites/test/user-images.strikinglycdn.com/res/hrscywv4p/image/upload/c_limit,fl_lossy,h_300,w_300,f_auto,q_auto/5769598/958373_149415.png	(from https://sexcames.mystrikingly.com/blog/free-live-sex-chat-and-adult-live-porn-cams-xxx)
21:43:29	58873/58873	---M--	200	added ('OK')	image/jpeg	etag:%229a931967cc43e512ccc27a20dea4b2a3%22	http://assets.strikingly.com/static/backgrounds/blur/5.jpg	C:/My%20Web%20Sites/test/assets.strikingly.com/static/backgrounds/blur/5.jpg	(from https://sexcames.mystrikingly.com/blog/free-live-sex-chat-and-adult-live-porn-cams-xxx)
21:43:39	72095/72095	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Oct%202021%2018:43:28%20GMT	http://user-images.strikinglycdn.com/res/hrscywv4p/image/upload/c_limit,fl_lossy,h_9000,w_1200,f_auto,q_auto/5769598/292056_434182.jpeg	C:/My%20Web%20Sites/test/user-images.strikinglycdn.com/res/hrscywv4p/image/upload/c_limit,fl_lossy,h_9000,w_1200,f_auto,q_auto/5769598/292056_434182.jpg	(from https://sexcames.mystrikingly.com/blog/free-live-sex-chat-and-adult-live-porn-cams-xxx)
21:43:42	98047/98047	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Oct%202021%2018:43:41%20GMT	https://sexcames.mystrikingly.com/blog/sexcames-free-live-sex-cams-and-live-porn-adult-sex-chat	C:/My%20Web%20Sites/test/sexcames.mystrikingly.com/blog/sexcames-free-live-sex-cams-and-live-porn-adult-sex-chat.html	(from https://sexcames.mystrikingly.com/blog/free-live-sex-chat-and-adult-live-porn-cams-xxx)
21:43:43	112777/112777	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Oct%202021%2018:43:25%20GMT	http://user-images.strikinglycdn.com/res/hrscywv4p/image/upload/c_limit,fl_lossy,h_9000,w_1200,f_auto,q_auto/5769598/688302_810370.jpeg	C:/My%20Web%20Sites/test/user-images.strikinglycdn.com/res/hrscywv4p/image/upload/c_limit,fl_lossy,h_9000,w_1200,f_auto,q_auto/5769598/688302_810370.jpg	(from https://sexcames.mystrikingly.com/blog/free-live-sex-chat-and-adult-live-porn-cams-xxx)
